,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Wheel,Color,Airbags,Doors,Mileage_km
68,314,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,225510 km,4.0,Automatic,Front,Left wheel,White,12,4,225510.0
69,5488,-,TOYOTA,Vitz,2001,Hatchback,No,Petrol,1.5,210000 km,4.0,Manual,Front,Right-hand drive,Sky blue,3,4,210000.0
70,30063,934,HYUNDAI,H1,2015,Universal,Yes,Diesel,2.5,148105 km,4.0,Automatic,Front,Left wheel,Silver,4,4,148105.0
71,15800,769,CHEVROLET,Captiva,2011,Jeep,Yes,Diesel,2.2,255456 km,4.0,Automatic,Front,Left wheel,Silver,4,4,255456.0
72,43952,1249,HYUNDAI,H1,2017,Universal,Yes,Diesel,2.5,111643 km,4.0,Automatic,Front,Left wheel,Grey,4,4,111643.0
73,53154,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,84506 km,4.0,Automatic,Front,Left wheel,Silver,4,4,84506.0
74,14740,645,TOYOTA,Prius,2011,Hatchback,No,Hybrid,1.8,288000 km,4.0,Automatic,Front,Left wheel,White,8,4,288000.0
75,42337,-,FORD,Mustang,2016,Cabriolet,Yes,Petrol,2.3 Turbo,75000 km,4.0,Tiptronic,Rear,Left wheel,Silver,6,2,75000.0
76,3763,1053,MERCEDES-BENZ,ML 350,2014,Jeep,Yes,Petrol,3.5,94362 km,6.0,Automatic,Rear,Left wheel,White,12,4,94362.0
77,18189,-,TOYOTA,Prius,2012,Sedan,No,Petrol,1.8,175000 km,4.0,Automatic,Front,Left wheel,Silver,8,4,175000.0
78,862,2455,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,263190 km,8.0,Automatic,4x4,Left wheel,White,0,4,263190.0
79,220,1185,FORD,Escape,2009,Jeep,Yes,Hybrid,2.5,193614 km,4.0,Automatic,Front,Left wheel,White,0,4,193614.0
80,5645,1324,TOYOTA,Highlander,2010,Jeep,Yes,Hybrid,3.3,264877 km,6.0,Automatic,4x4,Left wheel,White,12,4,264877.0
81,7527,830,TOYOTA,Yaris,2019,Sedan,Yes,Petrol,1.5,27656 km,4.0,Automatic,Front,Left wheel,White,12,4,27656.0
82,21953,1187,HONDA,Civic,2014,Sedan,No,Hybrid,1.4,16000 km,8.0,Automatic,4x4,Right-hand drive,White,10,4,16000.0
83,8154,-,HONDA,Cr-v,1998,Jeep,No,Petrol,2,0 km,4.0,Automatic,4x4,Right-hand drive,White,2,4,
84,21953,781,TOYOTA,Camry,2012,Sedan,No,Petrol,2.5,195053 km,4.0,Automatic,Front,Left wheel,Black,0,4,195053.0
85,19121,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,121362 km,4.0,Automatic,Front,Left wheel,Black,4,4,121362.0
86,36065,639,HYUNDAI,Santa FE,2014,Jeep,Yes,Diesel,2,69191 km,4.0,Automatic,Front,Left wheel,White,4,4,69191.0
87,8781,1111,HONDA,FIT,2012,Hatchback,Yes,Hybrid,1.3,83000 km,4.0,Tiptronic,Front,Right-hand drive,Green,12,4,83000.0
88,6247,760,CHEVROLET,Cruze,2010,Sedan,Yes,Petrol,1.8,40772 km,4.0,Automatic,Front,Left wheel,Black,4,4,40772.0
89,16289,642,CHEVROLET,Orlando,2012,Jeep,Yes,Diesel,2,172000 km,4.0,Automatic,Front,Left wheel,Grey,4,4,172000.0
90,77775,1604,MERCEDES-BENZ,GL 63 AMG,2014,Jeep,Yes,Petrol,5.5,433811 km,8.0,Automatic,4x4,Left wheel,Black,10,4,433811.0
91,2822,-,BMW,520 Vanos,1995,Sedan,Yes,Petrol,2,350000 km,6.0,Manual,Rear,Left wheel,Blue,2,4,350000.0
92,549,781,SUBARU,Forester,2012,Jeep,Yes,Petrol,2.5,148213 km,4.0,Automatic,4x4,Left wheel,Blue,0,4,148213.0
93,6981,1095,DAEWOO,Lacetti,2008,Sedan,Yes,Petrol,2,103246 km,4.0,Automatic,Front,Left wheel,Black,4,4,103246.0
94,27284,891,HYUNDAI,Elantra,2016,Sedan,No,Petrol,2,105394 km,4.0,Tiptronic,Front,Left wheel,Black,12,4,105394.0
95,32929,-,BMW,428 Sport Line,2013,Coupe,Yes,Petrol,2.0 Turbo,160000 km,4.0,Automatic,Rear,Left wheel,Black,12,2,160000.0
96,18817,-,NISSAN,Patrol,1990,Jeep,No,Diesel,2.8 Turbo,333333 km,4.0,Manual,Rear,Left wheel,Black,0,4,333333.0
97,4234,-,HONDA,Civic,1997,Hatchback,Yes,Petrol,1.4,0 km,4.0,Manual,Front,Left wheel,Blue,6,2,
98,15053,-,MERCEDES-BENZ,E 320,2004,Sedan,Yes,Petrol,3.2,214000 km,6.0,Tiptronic,Rear,Left wheel,Grey,8,4,214000.0
99,15458,966,HYUNDAI,Genesis,2009,Coupe,Yes,Petrol,2,123346 km,4.0,Automatic,Front,Left wheel,Black,4,4,123346.0
100,2901,473,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,80827 km,4.0,Automatic,Front,Left wheel,Green,12,4,80827.0
101,706,1138,PORSCHE,911,2013,Coupe,Yes,Petrol,3.8,64464 km,6.0,Automatic,Rear,Left wheel,Black,12,2,64464.0
102,314,382,FORD,Fusion,2015,Sedan,Yes,Hybrid,2,91760 km,4.0,Automatic,Front,Left wheel,Black,12,4,91760.0
103,15681,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,275240 km,8.0,Automatic,4x4,Left wheel,Silver,0,4,275240.0
104,26657,-,MERCEDES-BENZ,Sprinter,2004,Microbus,No,Diesel,2.2 Turbo,300000 km,4.0,Manual,Rear,Left wheel,White,1,4,300000.0
105,10663,988,TOYOTA,Prius,2007,Hatchback,No,Petrol,1.5,318400 km,4.0,Automatic,Front,Left wheel,Silver,6,4,318400.0
106,12858,765,FORD,Focus SE,2015,Sedan,No,Petrol,2,91200 km,4.0,Automatic,Front,Left wheel,Sky blue,10,4,91200.0
107,1019,917,BMW,X5,2013,Jeep,Yes,Diesel,3,137802 km,6.0,Automatic,4x4,Left wheel,Black,12,4,137802.0
108,549,917,BMW,535,2013,Sedan,Yes,Hybrid,3,151586 km,6.0,Automatic,Rear,Left wheel,White,12,4,151586.0
109,12858,-,KIA,Picanto,2016,Hatchback,No,Petrol,1.2,107000 km,4.0,Manual,Front,Left wheel,Silver,2,4,107000.0
110,15000,-,BMW,328,2008,Sedan,Yes,CNG,3,210408 km,6.0,Tiptronic,Rear,Left wheel,White,12,4,210408.0
111,85553,1156,FORD,Explorer,2017,Jeep,Yes,Petrol,2.3,100567 km,4.0,Automatic,Front,Left wheel,Black,4,4,100567.0
112,44752,1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,86000 km,4.0,Automatic,Front,Left wheel,Grey,4,4,86000.0
113,17158,687,HYUNDAI,Elantra,2010,Sedan,Yes,Petrol,1.6,122740 km,4.0,Automatic,Front,Left wheel,White,4,4,122740.0
114,12231,-,MITSUBISHI,Airtrek,2005,Jeep,No,LPG,2.4,144000 km,4.0,Tiptronic,4x4,Right-hand drive,White,16,4,144000.0
115,11917,11714,MERCEDES-BENZ,E 500 AMG,2003,Sedan,Yes,Petrol,5,150000 km,12.0,Tiptronic,Rear,Right-hand drive,White,12,4,150000.0
116,1254,-,MITSUBISHI,Lancer,1997,Sedan,No,Petrol,1.3,100000 km,4.0,Manual,Rear,Left wheel,Red,0,4,100000.0
117,94,-,HONDA,FIT,2003,Hatchback,No,Petrol,1.5,178000 km,4.0,Variator,Front,Right-hand drive,Silver,4,4,178000.0
118,25591,640,SSANGYONG,Korando,2013,Jeep,Yes,Diesel,2,85704 km,4.0,Automatic,Front,Left wheel,Silver,4,4,85704.0
119,14897,836,HYUNDAI,Santa FE,2010,Jeep,Yes,Diesel,2,58962 km,4.0,Automatic,Front,Left wheel,White,4,4,58962.0
120,23521,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,90000 km,4.0,Tiptronic,Front,Left wheel,White,12,4,90000.0
121,3450,-,RENAULT,Clio,1995,Hatchback,No,Petrol,1.2,50000 km,3.0,Manual,Front,Left wheel,Green,0,2,50000.0
122,706,777,MAZDA,616,2014,Sedan,Yes,Petrol,2.5,0 km,4.0,Automatic,Front,Left wheel,Red,12,4,
123,1019,1537,TOYOTA,Highlander,2009,Sedan,Yes,Hybrid,3.3,318358 km,6.0,Automatic,4x4,Left wheel,Black,12,4,318358.0
124,16935,765,FORD,Fusion,2015,Sedan,Yes,Petrol,2,71454 km,4.0,Automatic,Front,Left wheel,Black,0,4,71454.0
125,19444,781,TOYOTA,Camry,2012,Sedan,Yes,Petrol,2.5,0 km,4.0,Tiptronic,Front,Left wheel,Black,6,4,
126,11604,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,346470 km,4.0,Automatic,Front,Left wheel,Silver,4,4,346470.0
127,51965,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,59515 km,4.0,Automatic,Front,Left wheel,Blue,4,4,59515.0
128,706,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,115312 km,4.0,Automatic,Front,Left wheel,Grey,12,4,115312.0
129,9408,-,MERCEDES-BENZ,C 220,1999,Sedan,No,Diesel,2.2 Turbo,111111 km,4.0,Manual,Rear,Left wheel,Silver,4,4,111111.0
130,13328,1347,HYUNDAI,H1,2008,Minivan,Yes,Diesel,2.5,74444 km,4.0,Automatic,Front,Left wheel,Yellow,4,4,74444.0
131,17876,-,NISSAN,Serena,2012,Minivan,No,Petrol,2,143000 km,4.0,Tiptronic,Front,Right-hand drive,White,12,4,143000.0
132,549,2866,NISSAN,Maxima,2004,Sedan,Yes,Petrol,3.5,299709 km,6.0,Automatic,Front,Left wheel,Grey,12,4,299709.0
133,20071,-,TOYOTA,RAV 4,2008,Jeep,No,Petrol,2.4,135000 km,4.0,Automatic,4x4,Left wheel,Silver,8,4,135000.0
134,22894,862,HYUNDAI,H1,2011,Minivan,Yes,Diesel,2.5,124444 km,4.0,Automatic,Front,Left wheel,Yellow,4,4,124444.0
135,2901,503,HONDA,Civic,2012,Sedan,Yes,Hybrid,1.5,146403 km,4.0,Automatic,Front,Left wheel,White,0,4,146403.0
136,15681,-,MITSUBISHI,Pajero,1997,Jeep,No,Petrol,2.4,142000 km,4.0,Automatic,4x4,Left wheel,Blue,6,2,142000.0
137,39829,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,155821 km,8.0,Automatic,4x4,Left wheel,Black,0,4,155821.0
138,706,1646,LEXUS,GX 460,2015,Jeep,Yes,Petrol,4.6,102907 km,8.0,Automatic,4x4,Left wheel,Black,0,4,102907.0
139,18660,-,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,130000 km,4.0,Tiptronic,Front,Left wheel,Black,6,4,130000.0
140,22580,1017,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,50930 km,4.0,Automatic,Rear,Left wheel,Black,12,4,50930.0
141,11604,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,264872 km,4.0,Automatic,Front,Left wheel,Silver,4,4,264872.0
142,314,259,CHEVROLET,Volt,2014,Hatchback,Yes,Hybrid,1.4,131893 km,4.0,Automatic,Front,Left wheel,Brown,0,4,131893.0
143,5488,751,GMC,TERRAIN,2013,Jeep,Yes,Petrol,2.4,138958 km,4.0,Automatic,Front,Left wheel,Black,12,4,138958.0
144,4300,-,MERCEDES-BENZ,208,1985,Universal,No,Diesel,2.5,1111111 km,4.0,Manual,Rear,Left wheel,Black,1,4,1111111.0
145,18817,609,TOYOTA,Camry,2018,Sedan,Yes,Hybrid,2.5,35058 km,4.0,Automatic,Front,Left wheel,White,12,4,35058.0
146,21169,697,HONDA,Hr-v EX,2015,Jeep,No,Petrol,1.8,33330 km,4.0,Automatic,4x4,Left wheel,Grey,8,4,33330.0
147,9095,-,FIAT,500,2011,Coupe,No,Petrol,1.2,141000 km,4.0,Automatic,Front,Right-hand drive,Red,4,2,141000.0
148,1568,639,VOLKSWAGEN,Jetta,2014,Sedan,Yes,Diesel,2,82392 km,4.0,Automatic,Front,Left wheel,Silver,12,4,82392.0
149,3136,-,SUBARU,Legacy,2005,Goods wagon,No,Petrol,2.0 Turbo,180000 km,6.0,Tiptronic,4x4,Right-hand drive,Blue,6,4,180000.0
150,17876,585,HYUNDAI,Elantra sport limited,2013,Sedan,Yes,Petrol,1.8,117920 km,4.0,Tiptronic,Front,Left wheel,Grey,12,4,117920.0
151,11290,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,279787 km,4.0,Automatic,Front,Left wheel,Silver,4,4,279787.0
152,36065,1399,TOYOTA,Sienna,2010,Minivan,Yes,Petrol,3.5,227200 km,6.0,Tiptronic,Front,Left wheel,White,16,4,227200.0
153,862,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,130478 km,4.0,Automatic,Front,Left wheel,White,12,4,130478.0
154,21395,781,HYUNDAI,H1,2012,Universal,Yes,Diesel,2.5,166144 km,4.0,Automatic,Front,Left wheel,Silver,4,4,166144.0
155,15681,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,258706 km,4.0,Automatic,Front,Left wheel,Silver,4,4,258706.0
156,627,475,CHEVROLET,Volt,2012,Jeep,Yes,Hybrid,1.4,188419 km,4.0,Automatic,Front,Left wheel,Red,0,4,188419.0
157,40070,690,TOYOTA,Aqua,2016,Hatchback,Yes,Petrol,1.5,25807 km,4.0,Automatic,Front,Left wheel,Black,4,4,25807.0
158,11917,-,MERCEDES-BENZ,A 170,2008,Hatchback,No,Petrol,1.7,180000 km,4.0,Automatic,Front,Left wheel,Golden,8,4,180000.0
159,72130,1079,LEXUS,NX 300,2018,Jeep,Yes,Petrol,2.0 Turbo,18918 km,4.0,Tiptronic,Front,Left wheel,Black,6,4,18918.0
160,35927,640,SSANGYONG,REXTON,2013,Jeep,Yes,Diesel,2,137267 km,4.0,Automatic,Front,Left wheel,Silver,4,4,137267.0
161,21012,308,TOYOTA,Prius,2014,Sedan,No,Hybrid,1.8,160000 km,4.0,Automatic,4x4,Left wheel,White,4,4,160000.0
162,21012,1823,TOYOTA,Tacoma,2018,Sedan,Yes,Petrol,3.5,27358 km,6.0,Automatic,Front,Left wheel,Grey,12,4,27358.0
163,13172,1361,KIA,Carnival grand,2009,Minivan,Yes,Diesel,2.9,84176 km,4.0,Automatic,Front,Left wheel,White,6,4,84176.0
164,15624,707,HYUNDAI,Genesis,2011,Coupe,Yes,Petrol,2,107005 km,4.0,Automatic,Front,Left wheel,Grey,4,4,107005.0
165,4547,-,OPEL,Vectra,1997,Sedan,No,Petrol,1.6,15000 km,4.0,Manual,Front,Left wheel,Beige,2,4,15000.0
166,5488,1273,INFINITI,QX60,2015,Jeep,Yes,Petrol,3.5,124154 km,6.0,Automatic,4x4,Left wheel,Black,12,4,124154.0
167,20005,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,104997 km,4.0,Automatic,Front,Left wheel,White,4,4,104997.0
168,36110,924,VOLKSWAGEN,Passat,2017,Sedan,Yes,Petrol,1.8,27728 km,6.0,Tiptronic,Front,Left wheel,Silver,8,4,27728.0
169,7840,-,MERCEDES-BENZ,E 240 E 240,1998,Sedan,Yes,Petrol,2.4,777777 km,6.0,Manual,Rear,Left wheel,Blue,4,4,777777.0
170,470,1077,MAZDA,1000,2019,Jeep,Yes,Petrol,2,11566 km,4.0,Automatic,4x4,Left wheel,Black,12,4,11566.0
171,1300,-,AUDI,50,2018,Coupe,Yes,Petrol,0.5,4000 km,1.0,Tiptronic,Rear,Right-hand drive,Blue,0,5,4000.0
172,43880,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,113700 km,4.0,Automatic,Front,Left wheel,Silver,4,4,113700.0
173,29479,584,MERCEDES-BENZ,C 250,2014,Sedan,Yes,Petrol,1.8 Turbo,69000 km,4.0,Tiptronic,Rear,Left wheel,Grey,8,4,69000.0
174,17249,-,TOYOTA,Camry,2011,Sedan,Yes,Hybrid,2.5,152000 km,4.0,Variator,Front,Left wheel,White,12,4,152000.0
175,9408,-,TOYOTA,Vitz funkargo,2003,Universal,No,Petrol,1.5,181926 km,4.0,Automatic,4x4,Right-hand drive,Silver,2,4,181926.0
176,44213,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,50255 km,4.0,Automatic,Front,Left wheel,Red,4,4,50255.0
177,8467,2078,BMW,325,2001,Sedan,Yes,Petrol,2.5,252800 km,6.0,Manual,Rear,Left wheel,Grey,6,4,252800.0
178,627,915,AUDI,A6,2014,Sedan,Yes,Petrol,3,164488 km,6.0,Automatic,4x4,Left wheel,Silver,12,4,164488.0
179,21950,831,FORD,Transit,2011,Goods wagon,No,Diesel,2.4 Turbo,125000 km,4.0,Manual,4x4,Left wheel,White,2,4,125000.0
180,706,475,FIAT,500,2012,Hatchback,Yes,Petrol,1.4,164574 km,4.0,Automatic,Front,Left wheel,Red,12,4,164574.0
181,3136,473,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,156992 km,4.0,Automatic,Front,Left wheel,Black,12,4,156992.0
182,3450,-,OPEL,Vectra,1995,Sedan,No,CNG,2,0 km,4.0,Manual,Front,Left wheel,White,2,4,
